TIEMPO,ADC,DAC
0.265,1.725,1.638
0.266,1.651,1.632
0.267,1.632,1.841
0.268,1.799,1.751
0.269,1.754,1.561
0.27,1.596,1.696
0.271,1.67,1.306
0.272,1.37,1.232
0.273,1.258,1.703
0.274,1.612,1.267
0.275,1.329,1.351
0.276,1.348,1.874
0.277,1.767,1.416
0.278,1.487,2.09
0.279,1.964,1.158
0.28,1.309,1.896
0.281,1.787,2.041
0.282,1.983,1.219
0.283,1.364,1.838
0.284,1.741,1.487
0.285,1.529,1.464
0.286,1.48,2.122
0.287,1.996,1.783
0.288,1.812,1.183
0.289,1.296,1.38
0.29,1.367,1.906
0.291,1.796,1.232
0.292,1.335,1.635
0.293,1.57,1.235
0.294,1.293,1.164
0.295,1.183,1.177
0.296,1.177,1.38
0.297,1.338,1.506
0.298,1.47,1.387
0.299,1.406,2.032
0.3,1.909,1.68
0.301,1.716,1.225
0.302,1.309,1.229
0.303,1.241,1.583
0.304,1.519,1.764
0.305,1.709,1.235
0.306,1.319,1.419
0.307,1.403,2.08
0.308,1.948,1.741
0.309,1.77,1.193
0.31,1.296,1.229
0.311,1.238,1.345
0.312,1.322,1.358
0.313,1.351,1.677
0.314,1.609,1.409
0.315,1.445,1.67
0.316,1.629,2.016
0.317,1.941,1.954
0.318,1.951,2.048
0.319,2.019,1.354
0.32,1.48,1.922
0.321,1.832,1.503
0.322,1.558,1.261
0.323,1.312,1.329
0.324,1.319,1.222
0.325,1.245,2.109
0.326,1.945,1.861
0.327,1.867,1.39
0.328,1.474,1.37
0.329,1.393,2.006
0.33,1.88,1.354
0.331,1.448,1.37
0.332,1.383,1.722
0.333,1.658,1.958
0.334,1.896,1.664
0.335,1.7,1.154
0.336,1.261,2.125
0.337,1.961,2.077
0.338,2.051,1.799
0.339,1.845,1.961
0.34,1.935,1.977
0.341,1.964,1.509
0.342,1.59,1.587
0.343,1.583,1.616
0.344,1.603,1.338
0.345,1.39,1.829
0.346,1.745,2.032
0.347,1.97,1.748
0.348,1.793,2.103
0.349,2.038,1.593
0.35,1.67,1.583
0.351,1.59,1.19
0.352,1.261,1.377
0.353,1.351,1.464
0.354,1.441,1.706
0.355,1.648,1.354
0.356,1.406,1.38
0.357,1.387,2.038
0.358,1.912,1.896
0.359,1.89,1.296
0.36,1.412,2.077
0.361,1.948,1.664
0.362,1.716,1.967
0.363,1.916,1.751
0.364,1.774,1.409
0.365,1.48,2.106
0.366,1.983,1.632
0.367,1.696,1.77
0.368,1.751,1.709
0.369,1.716,1.796
0.37,1.774,1.319
0.371,1.406,2.09
0.372,1.961,2.122
0.373,2.08,1.212
0.374,1.377,1.825
0.375,1.735,1.519
0.376,1.551,1.264
0.377,1.319,1.725
0.378,1.651,2.145
0.379,2.051,2.138
0.38,2.116,1.741
0.381,1.803,1.258
0.382,1.354,1.158
0.383,1.2,2.083
0.384,1.919,2.138
0.385,2.087,1.348
0.386,1.487,1.98
0.387,1.887,2.145
0.388,2.093,2.025
0.389,2.035,1.977
0.39,1.983,1.906
0.391,1.909,1.303
0.392,1.416,1.764
0.393,1.7,2.003
0.394,1.941,1.641
0.395,1.693,1.664
0.396,1.667,1.932
0.397,1.874,1.232
0.398,1.348,1.37
0.399,1.364,1.612
0.4,1.567,1.974
0.401,1.9,2.106
0.402,2.064,2.019
0.403,2.025,2.138
0.404,2.103,1.158
0.405,1.329,1.27
0.406,1.277,1.38
0.407,1.367,2.106
0.408,1.964,1.938
0.409,1.941,1.864
0.41,1.87,1.512
0.411,1.574,1.522
0.412,1.535,2.145
0.413,2.019,1.17
0.414,1.325,1.445
0.415,1.419,1.645
0.416,1.603,1.97
0.417,1.903,2.119
0.418,2.074,1.799
0.419,1.845,1.593
0.42,1.641,2.054
0.421,1.967,1.245
0.422,1.38,1.729
0.423,1.664,2.07
0.424,1.993,2.083
0.425,2.054,1.238
0.426,1.393,1.938
0.427,1.825,1.27
0.428,1.37,1.345
0.429,1.345,1.345
0.43,1.348,1.845
0.431,1.745,1.325
0.432,1.406,1.938
0.433,1.838,2.074
0.434,2.022,1.458
0.435,1.567,2.103
0.436,1.993,1.338
0.437,1.458,1.622
0.438,1.583,1.374
0.439,1.409,1.361
0.44,1.374,2.006
0.441,1.883,1.748
0.442,1.77,1.803
0.443,1.787,1.212
0.444,1.325,2.119
0.445,1.958,1.18
0.446,1.322,1.48
0.447,1.448,1.654
0.448,1.609,1.47
0.449,1.496,1.829
0.45,1.764,1.864
0.451,1.845,2.141
0.452,2.074,1.277
0.453,1.429,1.912
0.454,1.812,1.251
0.455,1.351,1.258
0.456,1.27,1.325
0.457,1.322,2.141
0.458,1.987,2.016
0.459,2.0,1.238
0.46,1.383,1.919
0.461,1.812,1.645
0.462,1.677,1.909
0.463,1.864,1.993
0.464,1.967,2.058
0.465,2.035,1.825
0.466,1.864,2.112
0.467,2.058,1.448
0.468,1.554,1.212
0.469,1.277,1.735
0.47,1.645,1.561
0.471,1.57,1.425
0.472,1.451,1.622
0.473,1.587,1.645
0.474,1.635,1.912
0.475,1.851,1.161
0.476,1.29,1.683
0.477,1.612,2.116
0.478,2.016,1.683
0.479,1.748,2.116
0.48,2.041,1.687
0.481,1.748,1.629
0.482,1.641,1.322
0.483,1.383,1.887
0.484,1.787,1.548
0.485,1.59,1.58
0.486,1.58,1.706
0.487,1.677,1.367
0.488,1.425,1.89
0.489,1.799,1.848
0.49,1.832,1.461
0.491,1.529,1.583
0.492,1.567,1.309
0.493,1.351,1.2
0.494,1.225,1.348
0.495,1.329,2.041
0.496,1.906,1.951
0.497,1.941,1.951
0.498,1.941,1.374
0.499,1.477,1.774
0.5,1.712,1.532
0.501,1.564,1.548
0.502,1.545,1.496
0.503,1.509,2.129
0.504,2.012,2.025
0.505,2.016,1.664
0.506,1.725,1.503
0.507,1.538,1.39
0.508,1.422,2.135
0.509,1.996,1.745
0.51,1.79,1.658
0.511,1.677,1.629
0.512,1.638,2.009
0.513,1.932,1.293
0.514,1.412,1.874
0.515,1.777,1.177
0.516,1.29,1.764
0.517,1.664,1.19
0.518,1.28,1.887
0.519,1.77,2.106
0.52,2.045,2.112
0.521,2.09,1.48
0.522,1.59,1.474
0.523,1.49,1.454
0.524,1.458,1.538
0.525,1.525,2.012
0.526,1.922,2.064
0.527,2.025,1.203
0.528,1.358,1.854
0.529,1.751,1.248
0.53,1.348,2.132
0.531,1.983,1.961
0.532,1.958,1.477
0.533,1.567,1.835
0.534,1.777,1.383
0.535,1.451,1.19
0.536,1.235,1.348
0.537,1.329,1.893
0.538,1.787,1.896
0.539,1.867,1.312
0.54,1.412,1.409
0.541,1.406,1.312
0.542,1.325,1.196
0.543,1.225,2.051
0.544,1.896,2.09
0.545,2.048,1.712
0.546,1.77,1.712
0.547,1.716,1.467
0.548,1.516,2.054
0.549,1.951,1.883
0.55,1.89,1.522
0.551,1.583,1.248
0.552,1.309,1.503
0.553,1.461,1.319
0.554,1.341,1.245
0.555,1.261,1.393
0.556,1.367,1.609
0.557,1.558,1.245
0.558,1.299,1.393
0.559,1.37,1.222
0.56,1.248,1.587
0.561,1.525,2.099
0.562,1.99,1.967
0.563,1.961,1.164
0.564,1.312,1.593
0.565,1.535,1.59
0.566,1.574,1.28
0.567,1.335,1.745
0.568,1.667,1.987
0.569,1.916,1.229
0.57,1.358,1.764
0.571,1.683,1.554
0.572,1.574,1.412
0.573,1.445,1.948
0.574,1.848,1.603
0.575,1.648,1.925
0.576,1.87,1.874
0.577,1.87,1.864
0.578,1.861,1.819
0.579,1.822,1.441
0.58,1.506,1.358
0.581,1.39,1.98
0.582,1.867,1.964
0.583,1.938,1.59
0.584,1.658,2.116
0.585,2.022,1.551
0.586,1.635,1.577
0.587,1.58,1.241
0.588,1.306,1.799
0.589,1.7,1.338
0.59,1.406,1.6
0.591,1.564,2.061
0.592,1.958,1.277
0.593,1.406,1.848
0.594,1.761,1.677
0.595,1.69,1.812
0.596,1.78,1.287
0.597,1.374,1.248
0.598,1.27,1.625
0.599,1.558,1.945
0.6,1.867,1.6
0.601,1.648,1.68
0.602,1.674,2.135
0.603,2.045,1.761
0.604,1.806,1.28
0.605,1.38,1.651
0.606,1.6,1.693
0.607,1.667,1.425
0.608,1.47,1.809
0.609,1.738,1.548
0.61,1.58,1.441
0.611,1.464,1.48
0.612,1.47,1.267
0.613,1.309,2.087
0.614,1.929,1.158
0.615,1.303,1.68
0.616,1.609,2.051
0.617,1.961,1.612
0.618,1.68,2.0
0.619,1.941,2.103
0.62,2.064,1.719
0.621,1.783,1.97
0.622,1.925,1.309
0.623,1.422,1.535
0.624,1.516,1.996
0.625,1.903,1.703
0.626,1.735,1.422
0.627,1.477,1.587
0.628,1.567,2.025
0.629,1.938,2.125
0.63,2.087,1.812
0.631,1.854,1.435
0.632,1.512,1.967
0.633,1.877,1.416
0.634,1.496,1.412
0.635,1.425,1.638
0.636,1.6,1.829
0.637,1.783,1.935
0.638,1.896,1.258
0.639,1.377,1.761
0.64,1.68,1.345
0.641,1.412,2.135
0.642,1.993,1.716
0.643,1.764,1.529
0.644,1.567,1.493
0.645,1.5,1.448
0.646,1.458,1.941
0.647,1.845,1.461
0.648,1.532,1.687
0.649,1.648,1.174
0.65,1.264,1.774
0.651,1.677,1.896
0.652,1.845,1.277
0.653,1.383,1.683
0.654,1.629,1.97
0.655,1.896,1.161
0.656,1.303,2.103
0.657,1.941,1.222
0.658,1.361,2.045
0.659,1.909,1.516
0.66,1.59,1.951
0.661,1.88,1.783
0.662,1.796,1.483
0.663,1.538,1.674
0.664,1.638,1.222
0.665,1.303,1.912
0.666,1.793,1.654
0.667,1.677,1.687
0.668,1.687,1.951
0.669,1.9,1.977
0.67,1.954,1.393
0.671,1.5,2.032
0.672,1.922,1.409
0.673,1.5,1.154
0.674,1.216,1.38
0.675,1.345,1.254
0.676,1.27,1.616
0.677,1.548,1.638
0.678,1.616,1.387
0.679,1.429,1.703
0.68,1.648,1.645
0.681,1.641,1.722
0.682,1.706,2.07
0.683,1.993,1.283
0.684,1.412,1.448
0.685,1.441,1.777
0.686,1.706,1.319
0.687,1.396,2.145
0.688,2.0,1.745
0.689,1.79,1.935
0.69,1.896,1.193
0.691,1.329,1.961
0.692,1.841,2.099
0.693,2.051,2.067
0.694,2.058,1.645
0.695,1.716,1.345
0.696,1.412,1.712
0.697,1.658,2.074
0.698,1.993,1.883
0.699,1.896,1.477
0.7,1.554,1.754
0.701,1.709,1.248
0.702,1.332,1.325
0.703,1.322,1.603
0.704,1.545,1.164
0.705,1.232,1.261
0.706,1.261,2.048
0.707,1.89,1.299
0.708,1.403,1.2
0.709,1.238,1.88
0.71,1.758,1.825
0.711,1.809,1.709
0.712,1.722,1.719
0.713,1.719,2.106
0.714,2.029,1.622
0.715,1.696,1.796
0.716,1.77,1.641
0.717,1.664,1.935
0.718,1.88,1.877
0.719,1.877,1.967
0.72,1.945,1.706
0.721,1.751,1.909
0.722,1.87,1.238
0.723,1.361,1.958
0.724,1.845,2.083
0.725,2.035,1.674
0.726,1.738,1.938
0.727,1.893,1.341
0.728,1.445,1.587
0.729,1.561,2.083
0.73,1.983,1.809
0.731,1.832,1.358
0.732,1.441,1.261
0.733,1.293,1.57
0.734,1.512,1.322
0.735,1.354,1.516
0.736,1.48,1.374
0.737,1.39,1.519
0.738,1.49,1.345
0.739,1.367,1.312
0.74,1.319,1.293
0.741,1.293,1.303
0.742,1.299,1.664
0.743,1.59,1.451
0.744,1.474,1.6
0.745,1.57,1.67
0.746,1.651,2.054
0.747,1.974,1.745
0.748,1.783,1.548
0.749,1.587,1.438
0.75,1.458,1.225
0.751,1.274,2.016
0.752,1.874,1.958
0.753,1.938,1.58
0.754,1.648,2.077
0.755,1.993,1.877
0.756,1.893,1.522
0.757,1.587,1.59
0.758,1.59,2.006
0.759,1.925,1.958
0.76,1.945,1.538
0.761,1.609,1.541
0.762,1.548,1.296
0.763,1.345,1.777
0.764,1.687,1.432
0.765,1.477,1.5
0.766,1.493,1.59
0.767,1.574,2.08
0.768,1.983,1.896
0.769,1.906,1.541
0.77,1.603,1.39
0.771,1.425,1.387
0.772,1.396,2.032
0.773,1.909,1.941
0.774,1.932,1.88
0.775,1.883,1.754
0.776,1.77,1.158
0.777,1.277,2.012
0.778,1.87,1.922
0.779,1.906,1.412
0.78,1.496,1.27
0.781,1.312,1.532
0.782,1.49,1.79
0.783,1.729,1.693
0.784,1.693,1.516
0.785,1.545,1.341
0.786,1.377,1.387
0.787,1.387,1.803
0.788,1.722,1.854
0.789,1.819,1.2
0.79,1.312,1.554
0.791,1.512,2.141
0.792,2.019,1.732
0.793,1.78,1.567
0.794,1.606,1.732
0.795,1.7,1.174
0.796,1.274,1.9
0.797,1.774,1.361
0.798,1.438,1.645
0.799,1.596,1.274
0.8,1.335,1.809
0.801,1.712,1.28
0.802,1.364,1.88
0.803,1.777,1.493
0.804,1.545,1.751
0.805,1.709,1.696
0.806,1.69,1.367
0.807,1.425,1.606
0.808,1.574,2.022
0.809,1.929,1.39
0.81,1.487,1.622
0.811,1.596,2.08
0.812,1.99,2.041
0.813,2.022,1.345
0.814,1.47,1.667
0.815,1.625,1.512
0.816,1.535,1.964
0.817,1.88,1.661
0.818,1.693,1.264
0.819,1.338,1.216
0.82,1.241,1.806
0.821,1.7,2.106
0.822,2.019,1.229
0.823,1.374,1.345
0.824,1.348,1.803
0.825,1.712,1.435
0.826,1.483,1.693
0.827,1.651,1.877
0.828,1.832,1.841
0.829,1.829,1.164
0.83,1.29,1.816
0.831,1.716,2.0
0.832,1.938,1.27
0.833,1.396,1.829
0.834,1.745,1.848
0.835,1.822,1.37
0.836,1.454,1.635
0.837,1.596,1.609
0.838,1.603,1.596
0.839,1.593,1.661
0.84,1.648,2.0
0.841,1.935,2.051
0.842,2.019,1.296
0.843,1.432,1.77
0.844,1.7,1.48
0.845,1.519,1.641
0.846,1.616,1.664
0.847,1.658,2.148
0.848,2.054,2.096
0.849,2.077,1.19
0.85,1.361,2.145
0.851,1.996,1.967
0.852,1.97,1.951
0.853,1.945,1.17
0.854,1.316,1.793
0.855,1.693,1.209
0.856,1.296,1.316
0.857,1.309,1.587
0.858,1.529,1.345
0.859,1.377,1.69
0.86,1.629,1.741
0.861,1.716,1.551
0.862,1.577,1.422
0.863,1.451,1.703
0.864,1.651,1.709
0.865,1.69,1.377
0.866,1.435,1.732
0.867,1.67,1.619
0.868,1.622,1.264
0.869,1.325,1.148
0.87,1.187,2.09
0.871,1.919,2.012
0.872,1.987,1.496
0.873,1.58,1.18
0.874,1.251,1.274
0.875,1.27,1.79
0.876,1.69,1.816
0.877,1.787,1.516
0.878,1.561,1.387
0.879,1.412,1.332
0.88,1.341,1.264
0.881,1.283,2.132
0.882,1.97,1.793
0.883,1.825,2.087
0.884,2.032,1.693
0.885,1.754,1.761
0.886,1.751,1.438
0.887,1.49,1.219
0.888,1.264,1.19
0.889,1.206,1.696
0.89,1.6,1.577
0.891,1.577,1.454
0.892,1.474,1.49
0.893,1.483,1.532
0.894,1.525,2.051
0.895,1.948,1.893
0.896,1.903,1.977
0.897,1.958,1.78
0.898,1.806,1.454
0.899,1.519,1.754
0.9,1.703,1.293
0.901,1.364,1.18
0.902,1.219,2.112
0.903,1.938,1.716
0.904,1.758,1.974
0.905,1.932,2.106
0.906,2.064,1.274
0.907,1.419,1.5
0.908,1.483,1.745
0.909,1.693,1.79
0.91,1.77,1.9
0.911,1.867,1.474
0.912,1.551,2.112
0.913,2.006,2.096
0.914,2.07,1.316
0.915,1.458,1.88
0.916,1.793,1.432
0.917,1.5,1.754
0.918,1.7,1.306
0.919,1.383,1.935
0.92,1.825,1.648
0.921,1.68,1.887
0.922,1.845,1.683
