TIEMPO,ADC,DAC
0.266,0.019,0.000
0.267,0.014,0.000
0.268,0.017,0.000
0.269,0.012,0.000
0.27,0.011,0.010
0.271,0.010,0.015
0.272,0.011,0.025
0.273,0.018,0.031
0.274,0.019,0.047
0.275,0.024,0.080
0.276,0.038,0.138
0.277,0.069,0.221
0.278,0.092,0.404
0.279,0.162,0.742
0.28,0.292,1.000
0.281,0.424,1.000
0.282,0.492,1.000
0.283,0.557,1.000
0.284,0.611,1.000
0.285,0.659,1.000
0.286,0.701,1.000
0.287,0.739,0.984
0.288,0.767,1.000
0.289,0.798,1.000
0.29,0.824,1.000
0.291,0.845,0.980
0.292,0.859,1.000
0.293,0.879,1.000
0.294,0.893,1.000
0.295,0.906,0.981
0.296,0.913,1.000
0.297,0.926,1.000
0.298,0.936,0.998
0.299,0.942,1.000
0.3,0.950,1.000
0.301,0.956,1.000
0.302,0.961,0.997
0.303,0.963,1.000
0.304,0.969,1.000
0.305,0.972,1.000
0.306,0.976,0.999
0.307,0.978,1.000
0.308,0.981,1.000
0.309,0.983,1.000
0.31,0.985,0.996
0.311,0.986,0.997
0.312,0.987,1.000
0.313,0.988,1.000
0.314,0.990,1.000
0.315,0.991,1.000
0.316,0.992,1.000
0.317,0.992,1.000
0.318,0.993,0.999
0.319,0.995,0.994
0.32,0.995,0.988
0.321,0.988,0.988
0.322,0.991,0.982
0.323,0.989,0.970
0.324,0.981,0.956
0.325,0.977,0.921
0.326,0.962,0.863
0.327,0.942,0.747
0.328,0.900,0.528
0.329,0.817,0.111
0.33,0.655,0.000
0.331,0.558,0.000
0.332,0.490,0.000
0.333,0.429,0.000
0.334,0.376,0.000
0.335,0.329,0.000
0.336,0.289,0.000
0.337,0.252,0.000
0.338,0.220,0.017
0.339,0.197,0.000
0.34,0.170,0.000
0.341,0.148,0.000
0.342,0.130,0.019
0.343,0.118,0.000
0.344,0.100,0.000
0.345,0.088,0.000
0.346,0.075,0.027
0.347,0.075,0.016
0.348,0.066,0.000
0.349,0.055,0.000
0.35,0.048,0.000
0.351,0.043,0.000
0.352,0.037,0.000
0.353,0.033,0.000
0.354,0.029,0.000
0.355,0.025,0.000
0.356,0.018,0.008
0.357,0.021,0.000
0.358,0.017,0.000
0.359,0.015,0.000
0.36,0.014,0.000
0.361,0.012,0.000
0.362,0.010,0.000
0.363,0.008,0.000
0.364,0.008,0.000
0.365,0.007,0.007
0.366,0.008,0.009
0.367,0.008,0.010
0.368,0.009,0.009
0.369,0.008,0.008
0.37,0.007,0.009
0.371,0.006,0.012
0.372,0.009,0.013
0.373,0.009,0.014
0.374,0.011,0.015
0.375,0.010,0.018
0.376,0.012,0.025
0.377,0.014,0.039
0.378,0.018,0.066
0.379,0.030,0.113
0.38,0.047,0.205
0.381,0.082,0.379
0.382,0.147,0.705
0.383,0.273,1.000
0.384,0.414,1.000
0.385,0.484,1.000
0.386,0.547,1.000
0.387,0.604,1.000
0.388,0.652,1.000
0.389,0.696,1.000
0.39,0.734,0.973
0.391,0.759,1.000
0.392,0.793,1.000
0.393,0.819,1.000
0.394,0.840,0.972
0.395,0.853,1.000
0.396,0.875,1.000
0.397,0.891,0.998
0.398,0.903,1.000
0.399,0.915,1.000
0.4,0.925,1.000
0.401,0.936,0.992
0.402,0.941,1.000
0.403,0.950,1.000
0.404,0.955,1.000
0.405,0.960,0.993
0.406,0.962,1.000
0.407,0.968,1.000
0.408,0.971,1.000
0.409,0.975,0.995
0.41,0.976,0.999
0.411,0.980,1.000
0.412,0.982,1.000
0.413,0.984,1.000
0.414,0.986,1.000
0.415,0.988,0.981
0.416,0.985,0.970
0.417,0.980,0.952
0.418,0.974,0.915
0.419,0.959,0.853
0.42,0.936,0.733
0.421,0.892,0.501
0.422,0.805,0.065
0.423,0.635,0.000
0.424,0.548,0.000
0.425,0.480,0.000
0.426,0.421,0.000
0.427,0.369,0.000
0.428,0.327,0.000
0.429,0.282,0.000
0.43,0.246,0.000
0.431,0.214,0.001
0.432,0.189,0.000
0.433,0.167,0.000
0.434,0.147,0.000
0.435,0.126,0.003
0.436,0.113,0.000
0.437,0.102,0.000
0.438,0.085,0.000
0.439,0.075,0.004
0.44,0.066,0.000
0.441,0.057,0.000
0.442,0.049,0.000
0.443,0.042,0.011
0.444,0.042,0.000
0.445,0.035,0.000
0.446,0.030,0.000
0.447,0.027,0.005
0.448,0.025,0.000
0.449,0.021,0.000
0.45,0.018,0.001
0.451,0.020,0.000
0.452,0.014,0.000
0.453,0.012,0.000
0.454,0.010,0.000
0.455,0.009,0.000
0.456,0.008,0.000
0.457,0.007,0.000
0.458,0.006,0.000
0.459,0.005,0.000
0.46,0.004,0.000
0.461,0.004,0.000
0.462,0.003,0.004
0.463,0.004,0.002
0.464,0.004,0.003
0.465,0.003,0.004
0.466,0.004,0.002
0.467,0.003,0.000
0.468,0.002,0.000
0.469,0.002,0.000
0.47,0.001,0.000
0.471,0.000,0.001
0.472,0.001,0.000
0.473,0.001,0.000
0.474,0.001,0.000
0.475,0.000,0.000
0.476,0.000,0.000
0.477,0.000,0.001
0.478,0.000,0.001
0.479,0.001,0.000
0.48,0.000,0.001
0.481,0.002,0.000
0.482,0.000,0.000
0.483,0.000,0.000
0.484,0.000,0.000
0.485,0.000,0.000
0.486,0.000,0.000
0.487,0.000,0.000
0.488,0.000,0.001
0.489,0.000,0.000
0.49,0.000,0.001
0.491,0.000,0.000
0.492,0.000,0.000
0.493,0.000,0.001
0.494,0.000,0.001
0.495,0.000,0.001
0.496,0.000,0.004
0.497,0.000,0.007
0.498,0.009,0.000
0.499,0.000,0.002
0.5,0.001,0.001
0.501,0.000,0.000
0.502,0.000,0.000
0.503,0.000,0.001
0.504,0.000,0.001
0.505,0.000,0.000
0.506,0.000,0.001
0.507,0.000,0.001
0.508,0.000,0.000
0.509,0.000,0.001
0.51,0.000,0.001
0.511,0.000,0.000
0.512,0.000,0.001
0.513,0.000,0.000
0.514,0.000,0.001
0.515,0.000,0.000
0.516,0.000,0.000
0.517,0.000,0.000
0.518,0.000,0.001
0.519,0.000,0.000
0.52,0.000,0.001
0.521,0.000,0.004
0.522,0.000,0.007
0.523,0.002,0.009
0.524,0.002,0.016
0.525,0.008,0.020
0.526,0.008,0.039
0.527,0.014,0.068
0.528,0.025,0.130
0.529,0.048,0.238
0.53,0.089,0.447
0.531,0.170,0.835
0.532,0.319,1.000
0.533,0.433,1.000
0.534,0.501,1.000
0.535,0.561,1.000
0.536,0.616,1.000
0.537,0.662,1.000
0.538,0.704,1.000
0.539,0.741,1.000
0.54,0.773,0.964
0.541,0.791,1.000
0.542,0.823,1.000
0.543,0.845,1.000
0.544,0.864,0.969
0.545,0.871,0.989
0.546,0.889,1.000
0.547,0.905,1.000
0.548,0.916,1.000
0.549,0.926,1.000
0.55,0.935,1.000
0.551,0.944,0.983
0.552,0.947,0.991
0.553,0.953,1.000
0.554,0.957,1.000
0.555,0.964,1.000
0.556,0.967,1.000
0.557,0.972,1.000
0.558,0.974,0.998
0.559,0.977,1.000
0.56,0.980,1.000
0.561,0.977,1.000
0.562,0.984,0.997
0.563,0.984,1.000
0.564,0.989,0.999
0.565,0.988,1.000
0.566,0.990,1.000
0.567,0.990,1.000
0.568,0.992,0.999
0.569,0.992,1.000
0.57,0.993,1.000
0.571,0.994,0.999
0.572,0.995,0.997
0.573,0.994,0.993
0.574,0.993,0.992
0.575,0.991,0.994
0.576,0.992,0.994
0.577,0.992,0.991
0.578,0.992,0.988
0.579,0.989,0.983
0.58,0.989,0.973
0.581,0.984,0.955
0.582,0.979,0.917
0.583,0.961,0.857
0.584,0.941,0.734
0.585,0.895,0.501
0.586,0.809,0.060
0.587,0.636,0.000
0.588,0.551,0.000
0.589,0.482,0.000
0.59,0.424,0.000
0.591,0.370,0.000
0.592,0.324,0.000
0.593,0.284,0.000
0.594,0.248,0.000
0.595,0.217,0.000
0.596,0.189,0.051
0.597,0.180,0.015
0.598,0.154,0.000
0.599,0.132,0.000
0.6,0.116,0.000
0.601,0.102,0.000
0.602,0.089,0.000
0.603,0.078,0.013
0.604,0.072,0.000
0.605,0.061,0.000
0.606,0.053,0.000
0.607,0.047,0.010
0.608,0.043,0.001
0.609,0.037,0.000
0.61,0.032,0.000
0.611,0.027,0.000
0.612,0.025,0.000
0.613,0.022,0.000
0.614,0.019,0.002
0.615,0.018,0.000
0.616,0.015,0.000
0.617,0.014,0.000
0.618,0.011,0.000
0.619,0.010,0.000
0.62,0.009,0.000
0.621,0.008,0.000
0.622,0.006,0.001
0.623,0.006,0.000
0.624,0.005,0.000
0.625,0.004,0.000
0.626,0.003,0.003
0.627,0.003,0.002
0.628,0.004,0.000
0.629,0.004,0.000
0.63,0.003,0.000
0.631,0.002,0.000
0.632,0.003,0.000
0.633,0.001,0.000
0.634,0.002,0.000
0.635,0.001,0.000
0.636,0.001,0.000
0.637,0.001,0.000
0.638,0.001,0.000
0.639,0.000,0.001
0.64,0.000,0.002
0.641,0.000,0.005
0.642,0.001,0.008
0.643,0.002,0.015
0.644,0.005,0.029
0.645,0.011,0.051
0.646,0.019,0.097
0.647,0.037,0.177
0.648,0.066,0.332
0.649,0.126,0.621
0.65,0.236,1.000
0.651,0.396,1.000
0.652,0.469,1.000
0.653,0.533,1.000
0.654,0.592,1.000
0.655,0.642,1.000
0.656,0.687,1.000
0.657,0.725,0.938
0.658,0.741,1.000
0.659,0.786,1.000
0.66,0.811,0.988
0.661,0.830,1.000
0.662,0.854,1.000
0.663,0.871,1.000
0.664,0.887,0.987
0.665,0.897,1.000
0.666,0.913,1.000
0.667,0.922,1.000
0.668,0.935,0.978
0.669,0.933,0.987
0.67,0.942,1.000
0.671,0.950,1.000
0.672,0.956,1.000
0.673,0.961,1.000
0.674,0.965,1.000
0.675,0.969,0.995
0.676,0.972,1.000
0.677,0.976,1.000
0.678,0.979,1.000
0.679,0.981,0.995
0.68,0.981,1.000
0.681,0.985,1.000
0.682,0.986,1.000
0.683,0.988,0.995
0.684,0.988,0.994
0.685,0.988,0.997
0.686,0.989,1.000
0.687,0.993,1.000
0.688,0.992,1.000
0.689,0.993,1.000
0.69,0.993,1.000
0.691,0.994,1.000
0.692,0.994,1.000
0.693,0.995,0.998
0.694,0.995,0.996
0.695,0.995,0.992
0.696,0.994,0.989
0.697,0.992,0.982
0.698,0.990,0.968
0.699,0.984,0.943
0.7,0.975,0.894
0.701,0.957,0.803
0.702,0.922,0.631
0.703,0.859,0.304
0.704,0.736,0.000
0.705,0.591,0.000
0.706,0.519,0.000
0.707,0.455,0.000
0.708,0.398,0.000
0.709,0.350,0.000
0.71,0.304,0.000
0.711,0.266,0.034
0.712,0.243,0.000
0.713,0.207,0.000
0.714,0.183,0.000
0.715,0.159,0.036
0.716,0.151,0.000
0.717,0.125,0.000
0.718,0.109,0.005
0.719,0.097,0.000
0.72,0.085,0.000
0.721,0.074,0.000
0.722,0.065,0.011
0.723,0.060,0.000
0.724,0.050,0.000
0.725,0.044,0.000
0.726,0.039,0.007
0.727,0.036,0.000
0.728,0.031,0.000
0.729,0.027,0.000
0.73,0.024,0.006
0.731,0.022,0.000
0.732,0.015,0.000
0.733,0.017,0.000
0.734,0.014,0.000
0.735,0.012,0.000
0.736,0.011,0.000
0.737,0.009,0.000
0.738,0.008,0.000
0.739,0.007,0.000
0.74,0.006,0.000
0.741,0.005,0.000
0.742,0.005,0.000
0.743,0.004,0.001
0.744,0.003,0.001
0.745,0.003,0.000
0.746,0.003,0.000
0.747,0.002,0.000
0.748,0.002,0.000
0.749,0.002,0.000
0.75,0.002,0.000
0.751,0.001,0.000
0.752,0.001,0.001
0.753,0.001,0.000
0.754,0.001,0.000
0.755,0.000,0.000
0.756,0.001,0.000
0.757,0.000,0.000
0.758,0.000,0.000
0.759,0.000,0.000
0.76,0.000,0.001
0.761,0.000,0.001
0.762,0.000,0.001
0.763,0.001,0.000
0.764,0.001,0.000
0.765,0.000,0.001
0.766,0.000,0.004
0.767,0.001,0.005
0.768,0.001,0.008
0.769,0.003,0.013
0.77,0.003,0.025
0.771,0.009,0.047
0.772,0.018,0.084
0.773,0.032,0.155
0.774,0.058,0.290
0.775,0.109,0.543
0.776,0.206,1.000
0.777,0.385,1.000
0.778,0.457,1.000
0.779,0.523,1.000
0.78,0.583,1.000
0.781,0.634,1.000
0.782,0.680,0.985
0.783,0.715,1.000
0.784,0.753,1.000
0.785,0.783,1.000
0.786,0.811,0.979
0.787,0.827,1.000
0.788,0.853,1.000
0.789,0.870,1.000
0.79,0.886,0.978
0.791,0.894,1.000
0.792,0.910,1.000
0.793,0.921,0.996
0.794,0.930,1.000
0.795,0.938,1.000
0.796,0.946,1.000
0.797,0.952,0.999
0.798,0.958,1.000
0.799,0.962,1.000
0.8,0.967,1.000
0.801,0.970,0.999
0.802,0.974,1.000
0.803,0.977,1.000
0.804,0.980,1.000
0.805,0.982,0.998
0.806,0.983,1.000
0.807,0.986,1.000
0.808,0.987,1.000
0.809,0.988,0.999
0.81,0.989,1.000
0.811,0.991,1.000
0.812,0.992,1.000
0.813,0.990,1.000
0.814,0.993,0.998
0.815,0.994,0.996
0.816,0.993,0.995
0.817,0.994,0.991
0.818,0.992,0.990
0.819,0.992,0.984
0.82,0.992,0.969
0.821,0.984,0.944
0.822,0.975,0.900
0.823,0.958,0.815
0.824,0.927,0.655
0.825,0.866,0.354
0.826,0.751,0.000
0.827,0.595,0.000
0.828,0.525,0.000
0.829,0.460,0.000
0.83,0.403,0.000
0.831,0.352,0.000
0.832,0.309,0.000
0.833,0.269,0.057
0.834,0.253,0.000
0.835,0.212,0.000
0.836,0.185,0.003
0.837,0.164,0.000
0.838,0.142,0.000
0.839,0.126,0.000
0.84,0.109,0.008
0.841,0.098,0.000
0.842,0.084,0.000
0.843,0.074,0.000
0.844,0.064,0.009
0.845,0.059,0.000
0.846,0.048,0.000
0.847,0.044,0.000
0.848,0.039,0.008
0.849,0.037,0.000
0.85,0.031,0.000
0.851,0.027,0.000
0.852,0.024,0.007
0.853,0.023,0.001
0.854,0.019,0.000
0.855,0.016,0.000
0.856,0.015,0.000
0.857,0.013,0.000
0.858,0.011,0.000
0.859,0.010,0.000
0.86,0.009,0.001
0.861,0.007,0.000
0.862,0.007,0.000
0.863,0.005,0.000
0.864,0.005,0.000
0.865,0.001,0.003
0.866,0.005,0.001
0.867,0.004,0.000
0.868,0.003,0.000
0.869,0.003,0.000
0.87,0.002,0.000
0.871,0.001,0.000
0.872,0.001,0.000
0.873,0.000,0.002
0.874,0.002,0.000
0.875,0.001,0.000
0.876,0.000,0.001
0.877,0.001,0.000
0.878,0.001,0.000
0.879,0.000,0.000
0.88,0.000,0.000
0.881,0.000,0.000
0.882,0.000,0.000
0.883,0.000,0.000
0.884,0.000,0.001
0.885,0.000,0.001
0.886,0.000,0.001
0.887,0.000,0.000
0.888,0.001,0.000
0.889,0.000,0.001
0.89,0.000,0.001
0.891,0.001,0.000
0.892,0.000,0.000
0.893,0.000,0.001
0.894,0.000,0.004
0.895,0.000,0.007
0.896,0.002,0.012
0.897,0.005,0.017
0.898,0.005,0.036
0.899,0.013,0.065
0.9,0.023,0.127
0.901,0.047,0.235
0.902,0.087,0.441
0.903,0.166,0.829
0.904,0.316,1.000
0.905,0.429,1.000
0.906,0.497,1.000
0.907,0.560,1.000
0.908,0.613,1.000
0.909,0.661,1.000
0.91,0.703,1.000
0.911,0.740,1.000
0.912,0.773,0.959
0.913,0.789,1.000
0.914,0.823,1.000
0.915,0.844,0.999
0.916,0.863,1.000
0.917,0.879,1.000
0.918,0.895,1.000
0.919,0.908,0.993
0.92,0.917,1.000
0.921,0.928,1.000
0.922,0.937,1.000
0.923,0.944,0.995
0.924,0.950,1.000
0.925,0.956,1.000
0.926,0.960,1.000
0.927,0.965,0.995
0.928,0.968,1.000
0.929,0.972,1.000
0.93,0.976,1.000
0.931,0.978,0.995
0.932,0.980,1.000
0.933,0.982,1.000
0.934,0.985,1.000
0.935,0.986,1.000
0.936,0.988,1.000
0.937,0.989,1.000
0.938,0.991,0.997
0.939,0.991,0.998
0.94,0.992,1.000
