TIEMPO,ADC,DAC
0.0,0.0,0
0.001,0.0,0
0.002,0.0,0
0.003,0.0,0
0.004,0.0,0
0.005,0.0,0
0.006,0.0,0
0.007,0.0,0
0.008,0.0,0
0.009,0.0,0
0.01,0.0,0
0.011,0.0,0
0.012,0.0,0
0.013,0.0,0
0.014,0.0,0
0.015,0.0,0
0.016,0.0,0
0.017,0.0,0
0.018,0.0,0
0.019,0.0,0
0.02,0.0,0
0.021,0.0,0
0.022,0.0,0
0.023,0.0,0
0.024,0.0,0
0.025,0.0,0
0.026,0.0,0
0.027,0.0,0
0.028,0.0,0
0.029,0.0,0
0.03,0.0,0
0.031,0.0,0
0.032,0.0,0
0.033,0.0,0
0.034,0.0,0
0.035,0.0,0
0.036,0.0,0
0.037,0.0,0
0.038,0.0,0
0.039,0.0,0
0.04,0.0,0
0.041,0.0,0
0.042,0.0,0
0.043,0.0,0
0.044,0.0,0
0.045,0.0,0
0.046,0.0,0
0.047,0.0,0
0.048,0.0,0
0.049,0.0,0
0.05,0.0,0
0.051,0.0,0
0.052,0.0,0
0.053,0.0,0
0.054,0.0,0
0.055,0.0,0
0.056,0.03,1
0.057,0.127,1
0.058,0.259,1
0.059,0.375,1
0.06,0.473,1
0.061,0.557,1
0.062,0.626,1
0.063,0.685,1
0.064,0.7340000000000001,1
0.065,0.7759999999999999,1
0.066,0.8109999999999999,1
0.067,0.84,1
0.068,0.865,1
0.069,0.885,1
0.07,0.903,1
0.071,0.917,1
0.072,0.93,1
0.073,0.941,1
0.074,0.9490000000000001,1
0.075,0.956,1
0.076,0.963,1
0.077,0.968,1
0.078,0.973,1
0.079,0.977,1
0.08,0.98,1
0.081,0.983,1
0.082,0.985,1
0.083,0.987,1
0.084,0.988,1
0.085,0.991,1
0.086,0.991,1
0.087,0.993,1
0.088,0.9940000000000001,1
0.089,0.9940000000000001,1
0.09,0.9940000000000001,1
0.091,0.996,1
0.092,0.996,1
0.093,0.997,1
0.094,0.997,1
0.095,0.997,1
0.096,0.997,1
0.097,0.997,1
0.098,0.998,1
0.099,0.998,1
0.1,0.998,1
0.101,0.998,1
0.102,0.998,1
0.103,0.9990000000000001,1
0.104,0.9990000000000001,1
0.105,0.9990000000000001,1
0.106,0.9990000000000001,1
0.107,0.9990000000000001,1
0.108,0.9990000000000001,1
0.109,0.998,1
0.11,0.9990000000000001,1
0.111,0.9990000000000001,1
0.112,0.9990000000000001,1
0.113,0.9990000000000001,1
0.114,0.9990000000000001,1
0.115,0.9990000000000001,1
0.116,0.9990000000000001,1
0.117,0.9990000000000001,1
0.118,0.9990000000000001,1
0.119,0.9990000000000001,1
0.12,0.9990000000000001,1
0.121,0.9990000000000001,1
0.122,0.9990000000000001,1
0.123,0.9990000000000001,1
0.124,1.0,1
0.125,0.9990000000000001,1
0.126,1.0,1
0.127,1.0,1
0.128,1.0,1
0.129,1.0,1
0.13,1.0,1
0.131,0.9990000000000001,1
0.132,1.0,1
0.133,1.0,1
0.134,0.9990000000000001,1
0.135,1.0,1
0.136,1.0,1
0.137,0.9990000000000001,1
0.138,1.0,1
0.139,1.0,1
0.14,0.9990000000000001,1
0.141,1.0,1
0.142,1.0,1
0.143,1.0,1
0.144,1.0,1
0.145,1.0,1
0.146,1.0,1
0.147,1.0,1
0.148,1.0,1
0.149,1.0,1
0.15,0.9990000000000001,1
0.151,1.0,1
0.152,1.0,1
0.153,1.0,1
0.154,1.0,1
0.155,1.0,1
0.156,0.9690000000000001,0
0.157,0.871,0
0.158,0.7390000000000001,0
0.159,0.623,0
0.16,0.524,0
0.161,0.441,0
0.162,0.37200000000000005,0
0.163,0.314,0
0.164,0.264,0
0.165,0.223,0
0.166,0.188,0
0.167,0.159,0
0.168,0.134,0
0.169,0.114,0
0.17,0.096,0
0.171,0.08199999999999999,0
0.172,0.069,0
0.173,0.057999999999999996,0
0.174,0.049,0
0.175,0.042,0
0.176,0.036000000000000004,0
0.177,0.03,0
0.178,0.026000000000000002,0
0.179,0.022000000000000002,0
0.18,0.019,0
0.181,0.016,0
0.182,0.013000000000000001,0
0.183,0.011000000000000001,0
0.184,0.01,0
0.185,0.008,0
0.186,0.006,0
0.187,0.006,0
0.188,0.005,0
0.189,0.004,0
0.19,0.003,0
0.191,0.003,0
0.192,0.002,0
0.193,0.002,0
0.194,0.002,0
0.195,0.001,0
0.196,0.001,0
0.197,0.001,0
0.198,0.001,0
0.199,0.0,0
0.2,0.0,0
0.201,0.0,0
0.202,0.0,0
0.203,0.0,0
0.204,0.0,0
0.205,0.0,0
0.206,0.0,0
0.207,0.0,0
0.208,0.0,0
0.209,0.0,0
0.21,0.0,0
0.211,0.0,0
0.212,0.0,0
0.213,0.0,0
0.214,0.0,0
0.215,0.0,0
0.216,0.0,0
0.217,0.0,0
0.218,0.0,0
0.219,0.0,0
0.22,0.0,0
0.221,0.0,0
0.222,0.0,0
0.223,0.0,0
0.224,0.0,0
0.225,0.0,0
0.226,0.0,0
0.227,0.0,0
0.228,0.0,0
0.229,0.0,0
0.23,0.0,0
0.231,0.0,0
0.232,0.0,0
0.233,0.0,0
0.234,0.0,0
0.235,0.0,0
0.236,0.0,0
0.237,0.0,0
0.238,0.0,0
0.239,0.0,0
0.24,0.0,0
0.241,0.0,0
0.242,0.0,0
0.243,0.0,0
0.244,0.0,0
0.245,0.0,0
0.246,0.0,0
0.247,0.0,0
0.248,0.0,0
0.249,0.0,0
0.25,0.0,0
0.251,0.0,0
0.252,0.0,0
0.253,0.0,0
0.254,0.0,0
0.255,0.0,0
0.256,0.03,1
0.257,0.127,1
0.258,0.259,1
0.259,0.375,1
0.26,0.474,1
0.261,0.557,1
0.262,0.626,1
0.263,0.685,1
0.264,0.735,1
0.265,0.7759999999999999,1
0.266,0.81,1
0.267,0.8390000000000001,1
0.268,0.862,1
0.269,0.885,1
0.27,0.903,1
0.271,0.917,1
0.272,0.929,1
0.273,0.94,1
0.274,0.9490000000000001,1
0.275,0.956,1
0.276,0.9620000000000001,1
0.277,0.968,1
0.278,0.973,1
0.279,0.976,1
0.28,0.98,1
0.281,0.983,1
0.282,0.985,1
0.283,0.987,1
0.284,0.9890000000000001,1
0.285,0.99,1
0.286,0.991,1
0.287,0.993,1
0.288,0.993,1
0.289,0.9940000000000001,1
0.29,0.995,1
0.291,0.996,1
0.292,0.996,1
0.293,0.996,1
0.294,0.997,1
0.295,0.997,1
0.296,0.998,1
0.297,0.998,1
0.298,0.998,1
0.299,0.998,1
0.3,0.998,1
0.301,0.998,1
0.302,0.998,1
0.303,0.998,1
0.304,0.998,1
0.305,0.9990000000000001,1
0.306,0.9990000000000001,1
0.307,0.9990000000000001,1
0.308,0.9990000000000001,1
0.309,0.9990000000000001,1
0.31,0.9990000000000001,1
0.311,0.9990000000000001,1
0.312,0.9990000000000001,1
0.313,0.9990000000000001,1
0.314,0.9990000000000001,1
0.315,0.9990000000000001,1
0.316,0.9990000000000001,1
0.317,0.9990000000000001,1
0.318,0.9990000000000001,1
0.319,0.9990000000000001,1
0.32,0.9990000000000001,1
0.321,0.9990000000000001,1
0.322,0.9990000000000001,1
0.323,0.9990000000000001,1
0.324,1.0,1
0.325,0.9990000000000001,1
