TIEMPO,ADC,DAC
0.265,1.622,1.39
0.266,1.641,2.112
0.267,1.787,1.38
0.268,1.496,1.387
0.269,1.558,1.98
0.27,1.735,1.487
0.271,1.583,1.593
0.272,1.583,1.58
0.273,1.467,1.148
0.274,1.322,1.47
0.275,1.403,1.39
0.276,1.541,1.974
0.277,1.854,1.983
0.278,1.983,2.122
0.279,1.964,1.661
0.28,1.616,1.158
0.281,1.419,1.693
0.282,1.561,1.493
0.283,1.548,1.635
0.284,1.493,1.19
0.285,1.425,1.78
0.286,1.748,2.061
0.287,1.958,2.0
0.288,1.906,1.683
0.289,1.68,1.429
0.29,1.603,1.832
0.291,1.841,2.141
0.292,1.925,1.625
0.293,1.748,1.774
0.294,1.729,1.635
0.295,1.567,1.27
0.296,1.47,1.741
0.297,1.683,1.829
0.298,1.751,1.696
0.299,1.635,1.403
0.3,1.409,1.18
0.301,1.441,1.954
0.302,1.835,2.058
0.303,1.945,1.858
0.304,1.829,1.658
0.305,1.6,1.245
0.306,1.338,1.229
0.307,1.458,2.016
0.308,1.838,2.045
0.309,1.9,1.674
0.31,1.799,1.916
0.311,1.825,1.703
0.312,1.838,2.103
0.313,2.022,2.09
0.314,1.974,1.719
0.315,1.735,1.496
0.316,1.545,1.425
0.317,1.435,1.341
0.318,1.435,1.612
0.319,1.47,1.287
0.32,1.406,1.545
0.321,1.461,1.399
0.322,1.377,1.241
0.323,1.345,1.506
0.324,1.548,1.864
0.325,1.799,1.961
0.326,1.735,1.267
0.327,1.512,1.7
0.328,1.545,1.325
0.329,1.558,1.99
0.33,1.89,2.09
0.331,1.945,1.741
0.332,1.767,1.619
0.333,1.577,1.309
0.334,1.377,1.287
0.335,1.296,1.232
0.336,1.454,2.035
0.337,1.838,1.916
0.338,1.941,2.099
0.339,1.906,1.522
0.34,1.79,2.141
0.341,2.029,2.103
0.342,1.99,1.741
0.343,1.812,1.751
0.344,1.654,1.329
0.345,1.612,2.074
0.346,1.88,1.851
0.347,1.69,1.19
0.348,1.48,1.777
0.349,1.774,2.106
0.35,1.87,1.558
0.351,1.732,1.861
0.352,1.829,1.89
0.353,1.919,2.077
0.354,2.025,2.058
0.355,1.906,1.503
0.356,1.535,1.193
0.357,1.467,1.9
0.358,1.7,1.616
0.359,1.693,1.816
0.36,1.616,1.174
0.361,1.48,1.89
0.362,1.758,1.851
0.363,1.783,1.683
0.364,1.777,1.938
0.365,1.893,1.941
0.366,1.751,1.261
0.367,1.412,1.322
0.368,1.325,1.258
0.369,1.422,1.845
0.37,1.761,1.993
0.371,1.787,1.441
0.372,1.561,1.512
0.373,1.509,1.474
0.374,1.564,1.793
0.375,1.609,1.338
0.376,1.551,1.874
0.377,1.741,1.732
0.378,1.593,1.183
0.379,1.416,1.641
0.38,1.545,1.525
0.381,1.674,2.08
0.382,1.961,2.083
0.383,2.025,1.987
0.384,1.858,1.448
0.385,1.6,1.596
0.386,1.558,1.467
0.387,1.622,1.97
0.388,1.883,2.019
0.389,1.803,1.322
0.39,1.696,2.148
0.391,1.948,1.922
0.392,1.874,1.693
0.393,1.845,2.074
0.394,1.987,2.003
0.395,1.98,1.929
0.396,1.893,1.738
0.397,1.877,2.109
0.398,1.938,1.729
0.399,1.78,1.693
0.4,1.716,1.703
0.401,1.725,1.777
0.402,1.725,1.648
0.403,1.574,1.29
0.404,1.535,1.938
0.405,1.738,1.606
0.406,1.732,1.961
0.407,1.938,2.138
0.408,1.954,1.651
0.409,1.651,1.316
0.41,1.512,1.725
0.411,1.703,1.89
0.412,1.732,1.477
0.413,1.493,1.261
0.414,1.38,1.503
0.415,1.567,1.893
0.416,1.812,1.941
0.417,1.938,2.067
0.418,1.996,1.929
0.419,1.983,2.074
0.42,2.061,2.129
0.421,1.916,1.377
0.422,1.59,1.6
0.423,1.683,1.97
0.424,1.88,1.941
0.425,1.958,2.064
0.426,1.977,1.848
0.427,1.706,1.164
0.428,1.506,1.906
0.429,1.816,2.012
0.43,1.78,1.319
0.431,1.441,1.29
0.432,1.525,2.032
0.433,1.9,2.083
0.434,1.929,1.677
0.435,1.706,1.509
0.436,1.47,1.164
0.437,1.396,1.877
0.438,1.603,1.329
0.439,1.396,1.287
0.44,1.303,1.264
0.441,1.332,1.493
0.442,1.419,1.393
0.443,1.367,1.261
0.444,1.287,1.264
